Data Type, Beam Search Type, Update Method, Beam Width, Training Accuracy, Testing Accuracy, End Time
data/nettalk\train.txt,1,2,1,0.6815994325119328,0.7060380323108265,2017-03-21 21:32:35
data/ocr\train.txt,1,2,1,0.6885772950868789,0.4750891161665448,2017-03-21 21:53:14
data/nettalk\train.txt,1,2,5,0.6052276764901768,0.6146301368566073,2017-03-21 22:00:18
data/ocr\train.txt,1,2,5,0.6513486823790333,0.5796806741135649,2017-03-22 00:36:45
data/nettalk\train.txt,1,2,10,0.6071004925629927,0.6212421504149445,2017-03-22 01:03:32
data/ocr\train.txt,1,2,10,0.6569507170146145,0.5942201899488739,2017-03-22 12:56:08
data/nettalk\train.txt,1,2,15,0.6096495476745479,0.6235016880994821,2017-03-22 13:40:04
data/nettalk\train.txt,1,2,25,0.612119463869464,0.6262988131966072,2017-03-23 08:46:11
