Data Type, Beam Search Type, Update Method, Beam Width, Training Accuracy, Testing Accuracy, End Time
data/nettalk\train.txt,1,1,1,0.6644289335664335,0.6066054014612843,2017-03-21 21:25:23
data/ocr\train.txt,1,1,1,0.7908557452487164,0.581396914999537,2017-03-21 23:02:17
data/nettalk\train.txt,1,1,5,0.6700614690864689,0.7051598120833419,2017-03-21 23:45:03
data/ocr\train.txt,1,1,5,0.7539974579910682,0.5710035303220394,2017-03-22 10:29:46
data/nettalk\train.txt,1,1,10,0.6646363691863688,0.7004595659242723,2017-03-22 10:46:50
data/ocr\train.txt,1,1,10,0.7210933856700626,0.5857863585427157,2017-03-22 19:39:30
data/nettalk\train.txt,1,1,15,0.6571860347985348,0.70305009883907,2017-03-22 22:13:39
data/ocr\train.txt,1,1,15,0.67664043446791,0.48917335264319795,2017-03-23 21:34:23
